gen,sp,Species.name,strat1,strat2,strat3,strata_classified,description,source
Acromyrmex,coronatus,Acromyrmex.coronatus,arboreal,ground.surface,,arboreal & ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,lobicornis,Acromyrmex.lobicornis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,lundii,Acromyrmex.lundii,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,octospinosus,Acromyrmex.octospinosus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Acromyrmex,octospinosus cubanus,Acromyrmex.octospinosus cubanus,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Adelomyrmex,myops,Adelomyrmex.myops,litter.soil,,,litter.soil,Inhabits forest floor litter. Known from Winkler and Berlese samples. Mann (1922) observed small nests beneath stones in Honduras., JT Lognino https://ants.biology.utah.edu/genera/Adelomyrmex/species/myops/myops.html
Amblyopone,australis,Amblyopone.australis,ground.surface,litter.soil,,ground & litter,"A. australis feeds on a range of soft-bodied arthropods and nests in logs above ground (Shattuck, 1999; Wheeler 1933) In the SWBP, WA, nests of A. australis are not uncommon under logs and rocks. ",antwiki
Anochetus,emarginatus,Anochetus.emarginatus,arboreal,,,arboreal,"Anochetus emarginatus is an arboreal or semi-arboreal forager that often nests in hollow branches, epiphytes, or between palm leaf bases well above ground level (Brown 1978).",antwiki
Anochetus,ghilianii,Anochetus.ghilianii,ground.surface,litter.soil,,ground & litter,"nests are found a few centimetres from the surface, present under rocks and leaf litter","Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anochetus,graeffei,Anochetus.graeffei,ground.surface,litter.soil,,ground & litter,"Nests are generally under rocks or occasionally other objects on the ground but Anochetus graeffei is also known to nest directly in soil without covering, in termite nests and in rotten wood.",antwiki
Anochetus,mayri,Anochetus.mayri,ground.surface,litter.soil,,ground & litter,"it is found mostly in forests under stones, in moss on rocks or logs, in rotten twigs on the forest floor, or in larger bodies of rotten wood",antwiki
Anochetus,sedilloti,Anochetus.sedilloti,ground.surface,litter.soil,,ground & litter,"6 times Winkler, 2 times Hand",antweb
Anonychomyrma,itinerans,Anonychomyrma.itinerans,arboreal,,,arboreal,,"Flanders, B. J., McKillup, S. C., & McKillup, R. V. (2013). Temporal stability of a mosaic of two competitively exclusive arboreal ants in a tropical mangrove forest. Insectes sociaux, 60(2), 173-178."
Anoplolepis,custodiens,Anoplolepis.custodiens,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anoplolepis,gracilipes,Anoplolepis.gracilipes,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Anoplolepis,steingroeveri gertrudae,Anoplolepis.steingroeveri gertrudae,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,gemella,Aphaenogaster.gemella,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,iberica,Aphaenogaster.iberica,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,longiceps,Aphaenogaster.longiceps,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,ovaticeps ,Aphaenogaster.ovaticeps ,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,senilis,Aphaenogaster.senilis,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,splendida,Aphaenogaster.splendida,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Aphaenogaster,subterranea,Aphaenogaster.subterranea,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Atta,laevigata,Atta.laevigata,ground.surface,,,ground,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
Azteca,constructor,Azteca.constructor,arboreal,,,arboreal,,"Lucky, A., Trautwein, M. D., Guenard, B. S., Weiser, M. D., & Dunn, R. R. (2013). Tracing the rise of ants-out of the ground. PLOS one, 8(12), e84012."
