GISS Record,Record,Species name,Country,State / Province,1.1.GISS - Impacts on plants or vegetation - Impact description,Plants_score,Plants_Confidence_level,"1.2.GISS - Impacts on animals through predation, parasitism, or intoxication - Impact description",Animals_score,Animals_Confidence_level,1.3.GISS - Impacts on other species through competition - Impact description,Competition_score,Competition_Confidence_level,1.4.GISS - Impacts on ecosystems - Impact description,Ecosystems_score,Ecosystems_Confidence_level,1.5.GISS -  Impacts through transmission of diseases or parasites to native species - Impact description,Diseases_score,Diseases_Confidence_level,1.6.GISS - Impacts through hybridization - Impact description,Hybridization_score,Hybridization_Confidence_level,2.1.Impacts on agricultural production,Crops_score,Crops_Confidence_level,2.2.Impacts on animal production,Animal.production_score,Animal.production_Confidence_level,2.3.Impacts on forestry production,Forestry_score,Forestry_Confidence_level,2.4.Impacts on human infrastructure and administration,Infrastructure_score,Infrastructure_Confidence_level,2.5.Impacts on human health,Health_score,Health_Confidence_level,Health_type,2.6.Impacts on human social life,Social_score,Social_Confidence_level,GISS - environment,GISS - socioeconomic,GISS- TOTAL Impact,Comments,Methodology queries,Reference Code,Year,Full Reference
257,227.1,Paratrechina longicornis,Brazil,Bahia,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,""" These eight species [top 5 listed in matrix record] were responsible for 88.9% of the total number of oc- currences. In Bahia, these ants are not found exclusively in houses, but are also com- monly found in gardens, secondary vegetation, and crops... The most abundant ant species were Ph. megacephala (47% of infested houses and 31.7% of occurrences) and T melanocephalum (48% of infested houses and 22.9% of occurrences).""",2,3,Indoor (Occurrence),NI,0,NI,0,2,2,,,Delabie et al_1995,1995,"Delabie JHC, Do Nascimento IC, Pacheco P, Casimiro AB. 1995. Community structure of house-infesting ants (Hymenoptera: Formicidae) in southern Bahia, Brazil. Florida Entomologist 78(2): 264-270"
258,227.2,Pheidole megacephala,Brazil,Bahia,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,""" These eight species [top 5 listed in matrix record] were responsible for 88.9% of the total number of oc- currences. In Bahia, these ants are not found exclusively in houses, but are also com- monly found in gardens, secondary vegetation, and crops... The most abundant ant species were Ph. megacephala (47% of infested houses and 31.7% of occurrences) and T melanocephalum (48% of infested houses and 22.9% of occurrences).""",2,3,Indoor (Occurrence),NI,0,NI,0,2,2,,,Delabie et al_1995,1995,"Delabie JHC, Do Nascimento IC, Pacheco P, Casimiro AB. 1995. Community structure of house-infesting ants (Hymenoptera: Formicidae) in southern Bahia, Brazil. Florida Entomologist 78(2): 264-270"
259,227.3,Solenopsis saevissima,Brazil,Bahia,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,""" These eight species [top 5 listed in matrix record] were responsible for 88.9% of the total number of oc- currences. In Bahia, these ants are not found exclusively in houses, but are also com- monly found in gardens, secondary vegetation, and crops... The most abundant ant species were Ph. megacephala (47% of infested houses and 31.7% of occurrences) and T melanocephalum (48% of infested houses and 22.9% of occurrences).""",2,3,Indoor (Occurrence),NI,0,NI,0,2,2,,,Delabie et al_1995,1995,"Delabie JHC, Do Nascimento IC, Pacheco P, Casimiro AB. 1995. Community structure of house-infesting ants (Hymenoptera: Formicidae) in southern Bahia, Brazil. Florida Entomologist 78(2): 264-270"
31,31,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,"""In Australia, where invading yellow crazy ants were first discovered in 2001, the government considers the insects a major threat to farming – disturbing the root systems of crops with nests, encouraging sooty mould…""",3,1,NI,0,NI,NI,0,NI,"""In Australia, where invading yellow crazy ants were first discovered in 2001, the government considers the insects a major threat to farming – disturbing the root systems of crops with nests, encouraging sooty mould, burning farm workers and blinding livestock. The country spent AUS $3.4 million to control the pests in the first ten years of their invasion.""",3,1,NI,0,NI,,NI,0,NI,0,6,6,,,"none, online",2014,"Davies E. 2014. Battle of the ants: Which is the most notorious ant species on Earth? BBC Earth, September 2014 http://www.bbc.com/earth/bespoke/story/20140908-battle-of-the-ants/index.html"
34,34,Anoplolepis gracilipes,Australia,Christmas Island,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"3.6 million AUD is the cost of control for 3 years of aerial treatment for YCA on Christmas Island (2002, 2009, 2012)",3,3,NI,0,NI,,NI,0,NI,0,3,3,,,Boland et al_2011,2011,"Dion Maple, Natural Resource Manager - Invasive Species, Christmas Island National Park, dion.maple@environment.gov.au, personal communication to M. Cooling;                                                                                     Boland CRJ, Smith MJ, Maple D, Tiernan B, Barr R, Reeves R, Napier F. 2011. Heli-baiting using low concentration fipronil to control invasive yellow crazy ant supercolonies on Christmas Island, Indian Ocean. In: Island invasives: eradication and management (eds Veitch CR, Clout MN, Towns DR), pp 152-156. Gland, IUCN"
35,35,Anoplolepis gracilipes,Australia,Christmas Island,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"330,000 AUD is the cost of biennial YCA survey on Christmas Island",2,3,NI,0,NI,,NI,0,NI,0,2,2,difficult to determine impact level,,none,2016,"Dion Maple, Natural Resource Manager - Invasive Species, Christmas Island National Park, dion.maple@environment.gov.au, personal communication to M. Cooling, 2016"
46,43,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,1.9 million AUD was given as a grant to control YCA in Wet Tropics (2015-2019),3,3,NI,0,NI,,NI,0,NI,0,3,3,,"GDP and pop. are for whole country, not just Queensland (funding agency is federal)",Lach and Hoskin_2015,2015,"Lach L., Hoskin C. 2015. Too much to lose: yellow crazy ants in the Wet Tropics. Wildlife Australia Spring 2015: 37-41"
47,44,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"""A Bentley Park couple had their new air conditioner burnt out when the ants nested in it."" ",2,1,NI,0,NI,,NI,0,NI,0,2,2,,,Lach and Hoskin_2015,2015,"Lach L., Hoskin C. 2015. Too much to lose: yellow crazy ants in the Wet Tropics. Wildlife Australia Spring 2015: 37-41"
48,45,Anoplolepis gracilipes,Australia,Queensland,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,"""Paul Devine, an avid gardener in Russett Park, surrendered his garden to the ants because ""it’s not just unpleasant to be there, it’s impossible."" ",1,1,0,1,1,,,Lach and Hoskin_2015,2015,"Lach L., Hoskin C. 2015. Too much to lose: yellow crazy ants in the Wet Tropics. Wildlife Australia Spring 2015: 37-41"
55,52,Anoplolepis gracilipes,Tokelau,Tokelau,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"250,000 USD is cost of YCA management of Atafu, Tokelau (2015-2016)",3,3,NI,0,NI,,NI,0,NI,0,3,3,,,,2016,"Pacific Biosecurity, 2016"
