valid_species_name,bentity2_name,label,Native Range 1st,Final
Acromyrmex.coronatus,Acre,Acromyrmex.coronatus_Acre,Yes,Yes
Acromyrmex.coronatus,Amapa,Acromyrmex.coronatus_Amapa,Yes,Yes
Acromyrmex.coronatus,Amazonas,Acromyrmex.coronatus_Amazonas,Yes,Yes
Acromyrmex.coronatus,Amazonas_Brazil,Acromyrmex.coronatus_Amazonas_Brazil,Yes,Yes
Acromyrmex.coronatus,Antioquia,Acromyrmex.coronatus_Antioquia,Yes,Yes
Acromyrmex.coronatus,Bahia,Acromyrmex.coronatus_Bahia,Yes,Yes
Acromyrmex.coronatus,Bolivia,Acromyrmex.coronatus_Bolivia,Yes,Yes
Acromyrmex.coronatus,Boyaca,Acromyrmex.coronatus_Boyaca,Yes,Yes
Acromyrmex.coronatus,Campeche,Acromyrmex.coronatus_Campeche,Yes,Yes
Acromyrmex.coronatus,Caqueta,Acromyrmex.coronatus_Caqueta,Yes,Yes
Acromyrmex.coronatus,Casanare,Acromyrmex.coronatus_Casanare,Yes,Yes
Acromyrmex.coronatus,Cauca,Acromyrmex.coronatus_Cauca,Yes,Yes
Acromyrmex.coronatus,Ceara,Acromyrmex.coronatus_Ceara,Yes,Yes
Acromyrmex.coronatus,Chaco,Acromyrmex.coronatus_Chaco,Yes,Yes
Acromyrmex.coronatus,Chiapas,Acromyrmex.coronatus_Chiapas,Yes,Yes
Acromyrmex.coronatus,Corrientes,Acromyrmex.coronatus_Corrientes,Yes,Yes
Acromyrmex.coronatus,Costa Rica,Acromyrmex.coronatus_Costa Rica,Yes,Yes
Acromyrmex.coronatus,Cundinamarca,Acromyrmex.coronatus_Cundinamarca,Yes,Yes
Acromyrmex.coronatus,Ecuador,Acromyrmex.coronatus_Ecuador,Yes,Yes
Acromyrmex.coronatus,Espirito Santo,Acromyrmex.coronatus_Espirito Santo,Yes,Yes
Acromyrmex.coronatus,Formosa,Acromyrmex.coronatus_Formosa,Yes,Yes
Acromyrmex.coronatus,French Guiana,Acromyrmex.coronatus_French Guiana,Yes,Yes
Acromyrmex.coronatus,Goias,Acromyrmex.coronatus_Goias,Yes,Yes
Acromyrmex.coronatus,Guatemala,Acromyrmex.coronatus_Guatemala,Yes,Yes
Acromyrmex.coronatus,Honduras,Acromyrmex.coronatus_Honduras,Yes,Yes
Acromyrmex.coronatus,Magdalena,Acromyrmex.coronatus_Magdalena,Yes,Yes
Acromyrmex.coronatus,Mato Grosso,Acromyrmex.coronatus_Mato Grosso,Yes,Yes
Acromyrmex.coronatus,Mato Grosso do Sul,Acromyrmex.coronatus_Mato Grosso do Sul,Yes,Yes
Acromyrmex.coronatus,Meta,Acromyrmex.coronatus_Meta,Yes,Yes
Acromyrmex.coronatus,Minas Gerais,Acromyrmex.coronatus_Minas Gerais,Yes,Yes
Acromyrmex.coronatus,Misiones,Acromyrmex.coronatus_Misiones,Yes,Yes
Acromyrmex.coronatus,Narino,Acromyrmex.coronatus_Narino,Yes,Yes
Acromyrmex.coronatus,Nicaragua,Acromyrmex.coronatus_Nicaragua,Yes,Yes
Acromyrmex.coronatus,Norde de Santander,Acromyrmex.coronatus_Norde de Santander,Yes,Yes
Acromyrmex.coronatus,Panama,Acromyrmex.coronatus_Panama,Yes,Yes
Acromyrmex.coronatus,Para,Acromyrmex.coronatus_Para,Yes,Yes
Acromyrmex.coronatus,Paraguay,Acromyrmex.coronatus_Paraguay,Yes,Yes
Acromyrmex.coronatus,Parana,Acromyrmex.coronatus_Parana,Yes,Yes
Acromyrmex.coronatus,Peru,Acromyrmex.coronatus_Peru,Yes,Yes
Acromyrmex.coronatus,Quintana Roo,Acromyrmex.coronatus_Quintana Roo,Yes,Yes
Acromyrmex.coronatus,Rio de Janeiro,Acromyrmex.coronatus_Rio de Janeiro,Yes,Yes
Acromyrmex.coronatus,Rio Grande do Sul,Acromyrmex.coronatus_Rio Grande do Sul,Yes,Yes
Acromyrmex.coronatus,Santa Catarina,Acromyrmex.coronatus_Santa Catarina,Yes,Yes
Acromyrmex.coronatus,Santa Fe,Acromyrmex.coronatus_Santa Fe,Yes,Yes
Acromyrmex.coronatus,Santander,Acromyrmex.coronatus_Santander,Yes,Yes
Acromyrmex.coronatus,Sao Paulo,Acromyrmex.coronatus_Sao Paulo,Yes,Yes
Acromyrmex.coronatus,Valle del Cauca,Acromyrmex.coronatus_Valle del Cauca,Yes,Yes
Acromyrmex.coronatus,Venezuela,Acromyrmex.coronatus_Venezuela,Yes,Yes
Acromyrmex.lobicornis,Bolivia,Acromyrmex.lobicornis_Bolivia,Yes,Yes
Acromyrmex.lobicornis,Buenos Aires,Acromyrmex.lobicornis_Buenos Aires,Yes,Yes
Acromyrmex.lobicornis,Catamarca,Acromyrmex.lobicornis_Catamarca,Yes,Yes
Acromyrmex.lobicornis,Chaco,Acromyrmex.lobicornis_Chaco,Yes,Yes
Acromyrmex.lobicornis,Chubut,Acromyrmex.lobicornis_Chubut,Yes,Yes
Acromyrmex.lobicornis,Cordoba Argentina,Acromyrmex.lobicornis_Cordoba Argentina,Yes,Yes
Acromyrmex.lobicornis,Corrientes,Acromyrmex.lobicornis_Corrientes,Yes,Yes
Acromyrmex.lobicornis,Entre Rios,Acromyrmex.lobicornis_Entre Rios,Yes,Yes
Acromyrmex.lobicornis,Formosa,Acromyrmex.lobicornis_Formosa,Yes,Yes
Acromyrmex.lobicornis,Jujuy,Acromyrmex.lobicornis_Jujuy,Yes,Yes
Acromyrmex.lobicornis,La Pampa,Acromyrmex.lobicornis_La Pampa,Yes,Yes
Acromyrmex.lobicornis,La Rioja,Acromyrmex.lobicornis_La Rioja,Yes,Yes
Acromyrmex.lobicornis,Mendoza,Acromyrmex.lobicornis_Mendoza,Yes,Yes
Acromyrmex.lobicornis,Misiones,Acromyrmex.lobicornis_Misiones,Yes,Yes
