Country_global,Report_ava,Country_global_modified,Notes,Report_num,language,threat,IAS_list,Existing_mgmt,intro,research,outreach,reactive,proactive,Checked against shape 27th July 2015,Report checked April 2016
Afghanistan,Afghanistan,Afghanistan,,4th,English,0,0,0,0.5,0,0,0,0.5,yes,yes
Akrotiri,,Akrotiri,,,,,,,,,,,,,
Aland,,Aland,,,,,,,,,,,,,
Albania,Albania,Albania,,5th,English,0,0,0,0,1,0,0,1,research added because of FAISIE,yes
Algeria,Algeria,Algeria,,4th,French,0,1,0,0.5,0,0,1,0.5,yes,
American Samoa,,American Samoa,,,,,,,,,,,,,
Andorra,,Andorra,,,,,,,,,,,,,
Angola,Angola,Angola,,4th,English,0,0.5,0,0,0,0,0.5,0,yes,yes
Anguilla,,Anguilla,,,,,,,,,,,,,
Antarctica,,Antarctica,,,,,,,,,,,,,
Antigua and Barb.,Antigua and Barb.,Antigua and Barb.,,4th,English,1,0,0.5,0,0,0,1.5,0,yes,
Argentina,Argentina,Argentina,,4th,Spanish,1,1,0.5,0,1,0,2.5,1,yes,
Armenia,Armenia,Armenia,,4th,English,1,1,0,0,0,0,2,0,yes,yes
Aruba,,Aruba,,,,,,,,,,,,,
Australia,Australia,Australia,,5th,English,1,1,1,1,1,1,3,3,yes,yes
Austria,Austria,Austria,,4th,English,1,1,1,1,1,1,3,3,yes,yes
Azerbaijan,Azerbaijan,Azerbaijan,,5th,English,1,0,0,0,0,0,1,0,yes,yes
Bahamas,Bahamas,Bahamas,,4th,English,1,1,0.5,0.5,1,1,2.5,2.5,yes,yes
Bahrain,Bahrain,Bahrain,,4th,Arabic,1,0,0.5,0.5,1,0,1.5,1.5,yes,
Baikonur,,Baikonur,,,,,,,,,,,,,
Bajo Nuevo Bank (Petrel Is.),,Bajo Nuevo Bank (Petrel Is.),,,,,,,,,,,,,
Bangladesh,Bangladesh,Bangladesh,,4th,English,1,0.5,0,0.5,0,0,1.5,0.5,yes,yes
Barbados,Barbados,Barbados,,4th,English,1,0,0.5,0.5,1,1,1.5,2.5,yes,
Belarus,Belarus,Belarus,,5th,Russian,1,0.5,0,0,1,0,1.5,1,yes,
Belgium,Belgium,Belgium,,5th,English,1,1,0,1,1,1,2,3,yes,yes
Belize,Belize,Belize,,4th,English,1,0.5,0.5,0.5,0,1,2,1.5,yes,yes
Benin,Benin,Benin,,5th,French,1,0.5,0.5,0,0,0,2,0,yes,
Bermuda,,Bermuda,,,,,,,,,,,,,
Bhutan,Bhutan,Bhutan,,4th,English,0,0,0.5,0,0,0,0.5,0,yes,yes
Bolivia,,Bolivia,,,,,,,,,,,,,
Bosnia and Herz.,Bosnia and Herz.,Bosnia and Herzegovina,,5th,English,1,0.5,0,0,0,0,1.5,0,yes,yes
Botswana,Botswana,Botswana,,4th,English,0,0,0.5,0.5,0,0,0.5,0.5,yes,yes
Br. Indian Ocean Ter.,,British Indian Ocean Territory,,,,,,,,,,,,,
Brazil,Brazil,Brazil,,4th,English,1,1,1,0.5,0,0,3,0.5,yes,yes
British Virgin Is.,,British Virgin Is.,,,,,,,,,,,,,
Brunei,Brunei,Brunei,,4th,English,1,1,0,1,0,0,2,1,yes,
Bulgaria,Bulgaria,Bulgaria,,5th,English,1,1,0,0.5,1,1,2,2.5,yes,yes
Burkina Faso,Burkina Faso,Burkina Faso,,4th,French,1,0.5,0,0,0,0,1.5,0,yes,
Burundi,Burundi,Burundi,,5th,French,1,0,0.5,0.5,0,0,1.5,0.5,yes,
Cambodia,Cambodia,Cambodia,,4th,English,1,0.5,0.5,0,0,0,2,0,yes,yes
Cameroon,Cameroon,Cameroon,,5th,French,1,0.5,0,0,1,0,1.5,1,inconsistencies corrected,
Canada,Canada,Canada,,4th,"English, French",1,1,1,1,1,1,3,3,yes,
