"","genus","species","polygon_name","x","y","num","ID","temp_pca","water_pca","temp_pca_2C","temp_pca_4C","water_pca_2C","water_pca_4C","bentity2_name","area","date","sp.layer","mean_temp_pca_native","mean_water_pca_native","population","id","x","y"
"Acromyrmex.octospinosus.90","Acromyrmex","Acromyrmex.octospinosus","Cuba",-79.0312508775182,21.6207503453768,1,90,-2.18920355361011,2.68681076696993,-2.22313570885931,-2.30095105190129,3.23942535437123,2.81636752885278,"Cuba",110220098174.406,1913,"ground",-2.26850069245135,4.11377549864353,"Cuba_Acromyrmex.octospinosus","Acromyrmex.octospinosus_Cuba",-79.0312508775182,21.6207503453768
"Acromyrmex.octospinosus.506","Acromyrmex","Acromyrmex.octospinosus","Lesser Antilles",-62.4617835780263,15.0627561995142,1,506,-2.34968950873927,0.686191208377836,-2.39032502111636,-2.4695204979495,2.4946107797729,2.0644053339468,"Lesser Antilles",7777213988.10502,2020,"ground",-2.26850069245135,4.11377549864353,"Lesser Antilles_Acromyrmex.octospinosus","Acromyrmex.octospinosus_Lesser Antilles",-62.4617835780263,15.0627561995142
"Adelomyrmex.myops","Adelomyrmex","Adelomyrmex.myops","Galapagos Islands",-90.8965867078987,-0.553294049115944,1,493,-2.17852144009537,-0.915941718386279,-2.25330062806606,-2.35901324351629,-0.396355064468096,-0.193319341587873,"Galapagos Islands",7801236930.14369,2008,"litter.soil",-2.15442995907342,3.79693558534627,"Galapagos Islands_Adelomyrmex.myops","Adelomyrmex.myops_Galapagos Islands",-90.8965867078987,-0.553294049115944
"Amblyopone.australis.482","Amblyopone","Amblyopone.australis","Caroline Islands",157.665163020553,6.66440411694283,1,482,-2.47823696335157,3.2985790570577,-2.53107394774755,-2.60876183708509,10.7662011384964,11.7234601775805,"Caroline Islands",597801711.024758,NA,"ground & litter",-1.71951194351503,-0.190675029695195,"Caroline Islands_Amblyopone.australis","Amblyopone.australis_Caroline Islands",157.665163020553,6.66440411694283
"Amblyopone.australis.272","Amblyopone","Amblyopone.australis","New Zealand",172.645969738183,-41.8343276097385,1,272,-1.25721507556336,1.28991873986745,-1.31792056706145,-1.40544586314808,3.05095401528021,3.1690392599543,"New Zealand",268475548009.337,1887,"ground & litter",-1.71951194351503,-0.190675029695195,"New Zealand_Amblyopone.australis","Amblyopone.australis_New Zealand",172.645969738183,-41.8343276097385
"Anochetus.emarginatus","Anochetus","Anochetus.emarginatus","Bahamas",-76.5671064178707,24.2430773716039,1,27,-2.14039515807659,0.384041664421947,-2.17832657694817,-2.25594728958758,2.53113557228559,2.51724356988186,"Bahamas",12839158625.105,1998,"arboreal",-2.29166890470932,4.33543679540968,"Bahamas_Anochetus.emarginatus","Anochetus.emarginatus_Bahamas",-76.5671064178707,24.2430773716039
"Anochetus.ghilianii","Anochetus","Anochetus.ghilianii","Spain",-3.55293696577648,40.3885101274253,1,386,-1.23040725237941,0.173790960615161,-1.2829809414913,-1.36049610267727,0.025488991149735,-0.134891740029792,"Spain",493663791891.804,1859,"ground & litter",-1.38733444594567,-1.1732312400098,"Spain_Anochetus.ghilianii","Anochetus.ghilianii_Spain",-3.55293696577648,40.3885101274253
"Anochetus.graeffei.84","Anochetus","Anochetus.graeffei","Cook Islands",-159.173627313443,-18.8853918419756,1,84,-2.23709389567375,1.38415734469891,-2.27050280570984,-2.33221727609634,5.09846305847168,5.38223540782928,"Cook Islands",230409679.370345,1967,"ground & litter",-1.99125346705637,4.06142655339444,"Cook Islands_Anochetus.graeffei","Anochetus.graeffei_Cook Islands",-159.173627313443,-18.8853918419756
"Anochetus.graeffei.363","Anochetus","Anochetus.graeffei","Seychelles",51.4949111477428,-6.94413830800205,1,363,-2.37739227129065,1.50075731815203,-2.44143097297005,-2.529299756755,5.33204947347226,5.51832159705784,"Seychelles",486231920.981334,2012,"ground & litter",-1.99125346705637,4.06142655339444,"Seychelles_Anochetus.graeffei","Anochetus.graeffei_Seychelles",51.4949111477428,-6.94413830800205
"Anochetus.graeffei.535","Anochetus","Anochetus.graeffei","Society Islands",-149.909062730952,-17.4381230497134,1,535,-2.22413986023158,1.06902938917892,-2.24763622675856,-2.30884957640138,4.45677635767689,4.34033421620931,"Society Islands",1535763776.23791,1988,"ground & litter",-1.99125346705637,4.06142655339444,"Society Islands_Anochetus.graeffei","Anochetus.graeffei_Society Islands",-149.909062730952,-17.4381230497134
