Country Name,Country Code,Series Name,Series Code,YR2015,YR2022/YR2021
Afghanistan,AFG,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Afghanistan,AFG,Government Effectiveness,GE.EST,-1.396183848,-1.879552364
Afghanistan,AFG,Rule of Law,RL.EST,-1.515202641,-1.658442259
Afghanistan,AFG,Voice and Accountability,VA.EST,-1.117556691,-1.751587272
Afghanistan,AFG,Control of Corruption,CC.EST,-1.354239821,-1.183776498
Afghanistan,AFG,Imports of goods and services ,NE.IMP.GNFS.KD,NA,NA
Albania,ALB,Gross Tertiary School Enrollment (%),SE.TER.ENRR,62.98656082,62.73199081
Albania,ALB,Government Effectiveness,GE.EST,0.028239952,0.065062843
Albania,ALB,Rule of Law,RL.EST,-0.318997443,-0.165779099
Albania,ALB,Voice and Accountability,VA.EST,0.157161772,0.139465705
Albania,ALB,Control of Corruption,CC.EST,-0.544385254,-0.407875538
Albania,ALB,Imports of goods and services ,NE.IMP.GNFS.KD,5070977347,7340227424
Algeria,DZA,Gross Tertiary School Enrollment (%),SE.TER.ENRR,38.33097839,53.40124893
Algeria,DZA,Government Effectiveness,GE.EST,-0.410823673,-0.513090253
Algeria,DZA,Rule of Law,RL.EST,-0.94210124,-0.832472682
Algeria,DZA,Voice and Accountability,VA.EST,-0.847575545,-1.003874183
Algeria,DZA,Control of Corruption,CC.EST,-0.639073312,-0.637929857
Algeria,DZA,Imports of goods and services ,NE.IMP.GNFS.KD,60621174197,39451383412
American Samoa,ASM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
American Samoa,ASM,Government Effectiveness,GE.EST,0.443229765,0.667918146
American Samoa,ASM,Rule of Law,RL.EST,1.28536284,1.221117854
American Samoa,ASM,Voice and Accountability,VA.EST,NA,0.95764786
American Samoa,ASM,Control of Corruption,CC.EST,1.151810765,1.27020359
American Samoa,ASM,Imports of goods and services ,NE.IMP.GNFS.KD,665000000,527737179.5
Andorra,AND,Gross Tertiary School Enrollment (%),SE.TER.ENRR,13.88195992,34.48035049
Andorra,AND,Government Effectiveness,GE.EST,1.740904927,1.495304942
Andorra,AND,Rule of Law,RL.EST,1.512989044,1.48544991
Andorra,AND,Voice and Accountability,VA.EST,1.194495201,1.102832913
Andorra,AND,Control of Corruption,CC.EST,1.151810765,1.27020359
Andorra,AND,Imports of goods and services ,NE.IMP.GNFS.KD,NA,NA
Angola,AGO,Gross Tertiary School Enrollment (%),SE.TER.ENRR,8.683790207,NA
Angola,AGO,Government Effectiveness,GE.EST,-0.928497076,-1.040429354
Angola,AGO,Rule of Law,RL.EST,-1.030846119,-1.021904588
Angola,AGO,Voice and Accountability,VA.EST,-1.177087069,-0.797131121
Angola,AGO,Control of Corruption,CC.EST,-1.427323461,-0.601941288
Angola,AGO,Imports of goods and services ,NE.IMP.GNFS.KD,29985009928,16092479894
Antigua and Barbuda,ATG,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Antigua and Barbuda,ATG,Government Effectiveness,GE.EST,0.183694765,-0.159468576
Antigua and Barbuda,ATG,Rule of Law,RL.EST,0.553204715,0.391315579
Antigua and Barbuda,ATG,Voice and Accountability,VA.EST,0.595008314,0.721560717
Antigua and Barbuda,ATG,Control of Corruption,CC.EST,0.642890871,0.310604453
Antigua and Barbuda,ATG,Imports of goods and services ,NE.IMP.GNFS.KD,853392592.6,NA
Argentina,ARG,Gross Tertiary School Enrollment (%),SE.TER.ENRR,83.76258087,NA
Argentina,ARG,Government Effectiveness,GE.EST,-0.049351051,-0.282877296
Argentina,ARG,Rule of Law,RL.EST,-0.748842359,-0.480682313
Argentina,ARG,Voice and Accountability,VA.EST,0.411802024,0.543526769
Argentina,ARG,Control of Corruption,CC.EST,-0.580868721,-0.447030485
Argentina,ARG,Imports of goods and services ,NE.IMP.GNFS.KD,70064879912,78239238205
Armenia,ARM,Gross Tertiary School Enrollment (%),SE.TER.ENRR,45.46743011,59.80644989
Armenia,ARM,Government Effectiveness,GE.EST,-0.331129432,-0.314229518
Armenia,ARM,Rule of Law,RL.EST,-0.463257581,-0.168567225
Armenia,ARM,Voice and Accountability,VA.EST,-0.536284149,0.08823394
Armenia,ARM,Control of Corruption,CC.EST,-0.609267175,0.028035237
Armenia,ARM,Imports of goods and services ,NE.IMP.GNFS.KD,4427830382,7713352605
Aruba,ABW,Gross Tertiary School Enrollment (%),SE.TER.ENRR,17.26896095,NA
Aruba,ABW,Government Effectiveness,GE.EST,0.848053455,1.105333328
Aruba,ABW,Rule of Law,RL.EST,1.226623058,1.278907537
Aruba,ABW,Voice and Accountability,VA.EST,1.273960948,1.009181976
Aruba,ABW,Control of Corruption,CC.EST,1.248461127,0.756784737
Aruba,ABW,Imports of goods and services ,NE.IMP.GNFS.KD,2162351955,NA
Australia,AUS,Gross Tertiary School Enrollment (%),SE.TER.ENRR,119.67939,NA
Australia,AUS,Government Effectiveness,GE.EST,1.534175038,1.528874636
Australia,AUS,Rule of Law,RL.EST,1.790478706,1.510085225
Australia,AUS,Voice and Accountability,VA.EST,1.355610847,1.319480419
Australia,AUS,Control of Corruption,CC.EST,1.841353893,1.764489532
Australia,AUS,Imports of goods and services ,NE.IMP.GNFS.KD,2.91E+11,3.18E+11
Austria,AUT,Gross Tertiary School Enrollment (%),SE.TER.ENRR,82.25630951,NA
Austria,AUT,Government Effectiveness,GE.EST,1.451450586,1.465450168
Austria,AUT,Rule of Law,RL.EST,1.814850807,1.705850244
Austria,AUT,Voice and Accountability,VA.EST,1.383552909,1.408760786
Austria,AUT,Control of Corruption,CC.EST,1.472380042,1.258619428
Austria,AUT,Imports of goods and services ,NE.IMP.GNFS.KD,1.88E+11,2.46E+11
Azerbaijan,AZE,Gross Tertiary School Enrollment (%),SE.TER.ENRR,25.48320007,41.77328873
Azerbaijan,AZE,Government Effectiveness,GE.EST,-0.258776516,-0.040657915
Azerbaijan,AZE,Rule of Law,RL.EST,-0.717284381,-0.624645591
Azerbaijan,AZE,Voice and Accountability,VA.EST,-1.552383304,-1.440835834
Azerbaijan,AZE,Control of Corruption,CC.EST,-0.952501655,-1.040572286
Azerbaijan,AZE,Imports of goods and services ,NE.IMP.GNFS.KD,18474102155,NA
"Bahamas, The",BHS,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
"Bahamas, The",BHS,Government Effectiveness,GE.EST,0.679679215,0.424218327
"Bahamas, The",BHS,Rule of Law,RL.EST,0.569784105,0.133635864
"Bahamas, The",BHS,Voice and Accountability,VA.EST,0.951491833,0.869135797
"Bahamas, The",BHS,Control of Corruption,CC.EST,1.097775936,1.256189942
"Bahamas, The",BHS,Imports of goods and services ,NE.IMP.GNFS.KD,4333700000,3834554563
Bahrain,BHR,Gross Tertiary School Enrollment (%),SE.TER.ENRR,43.63837814,77.24449158
Bahrain,BHR,Government Effectiveness,GE.EST,0.510042667,0.640424907
Bahrain,BHR,Rule of Law,RL.EST,0.400236338,0.438828617
Bahrain,BHR,Voice and Accountability,VA.EST,-1.313060999,-1.417561769
Bahrain,BHR,Control of Corruption,CC.EST,0.107048586,0.139385641
Bahrain,BHR,Imports of goods and services ,NE.IMP.GNFS.KD,22301861702,NA
Bangladesh,BGD,Gross Tertiary School Enrollment (%),SE.TER.ENRR,15.59071636,22.8396492
Bangladesh,BGD,Government Effectiveness,GE.EST,-0.752515137,-0.762551904
Bangladesh,BGD,Rule of Law,RL.EST,-0.770436168,-0.60133934
Bangladesh,BGD,Voice and Accountability,VA.EST,-0.512037396,-0.752661884
Bangladesh,BGD,Control of Corruption,CC.EST,-0.84402591,-1.07552731
Bangladesh,BGD,Imports of goods and services ,NE.IMP.GNFS.KD,48280625263,78712519240
Barbados,BRB,Gross Tertiary School Enrollment (%),SE.TER.ENRR,NA,NA
Barbados,BRB,Government Effectiveness,GE.EST,0.989431441,0.428703636
Barbados,BRB,Rule of Law,RL.EST,1.063933611,0.358760208
Barbados,BRB,Voice and Accountability,VA.EST,1.096554518,1.128645539
Barbados,BRB,Control of Corruption,CC.EST,1.447863221,1.284573436
Barbados,BRB,Imports of goods and services ,NE.IMP.GNFS.KD,2234350000,NA
Belarus,BLR,Gross Tertiary School Enrollment (%),SE.TER.ENRR,98.0328598,70.86756897
Belarus,BLR,Government Effectiveness,GE.EST,-0.48900184,-0.851105094
Belarus,BLR,Rule of Law,RL.EST,-0.878960729,-1.221556544
Belarus,BLR,Voice and Accountability,VA.EST,-1.465073943,-1.626395226
Belarus,BLR,Control of Corruption,CC.EST,-0.315779865,-0.579676211
Belarus,BLR,Imports of goods and services ,NE.IMP.GNFS.KD,32689333599,37863326608
Belgium,BEL,Gross Tertiary School Enrollment (%),SE.TER.ENRR,76.42394257,NA
Belgium,BEL,Government Effectiveness,GE.EST,1.530230403,1.227658749
Belgium,BEL,Rule of Law,RL.EST,1.456469893,1.348942399
Belgium,BEL,Voice and Accountability,VA.EST,1.387459874,1.292608738
Belgium,BEL,Control of Corruption,CC.EST,1.474696517,1.495048642
Belgium,BEL,Imports of goods and services ,NE.IMP.GNFS.KD,3.53E+11,4.56E+11
Belize,BLZ,Gross Tertiary School Enrollment (%),SE.TER.ENRR,23.27388954,23.7802906
Belize,BLZ,Government Effectiveness,GE.EST,-0.641648054,-0.356178641
Belize,BLZ,Rule of Law,RL.EST,-0.793606222,-0.720759094
Belize,BLZ,Voice and Accountability,VA.EST,0.578148723,0.532865047
Belize,BLZ,Control of Corruption,CC.EST,-0.209245667,-0.237028584
Belize,BLZ,Imports of goods and services ,NE.IMP.GNFS.KD,1151466874,1324094548
Benin,BEN,Gross Tertiary School Enrollment (%),SE.TER.ENRR,12.90738964,NA
Benin,BEN,Government Effectiveness,GE.EST,-0.681488276,-0.164296001
Benin,BEN,Rule of Law,RL.EST,-0.554906368,-0.602389514
Benin,BEN,Voice and Accountability,VA.EST,0.294565856,-0.348290831
Benin,BEN,Control of Corruption,CC.EST,-0.563475013,-0.124255605
Benin,BEN,Imports of goods and services ,NE.IMP.GNFS.KD,3648295538,5182720275
Bermuda,BMU,Gross Tertiary School Enrollment (%),SE.TER.ENRR,31.94352913,NA
Bermuda,BMU,Government Effectiveness,GE.EST,0.962299764,1.219509363
Bermuda,BMU,Rule of Law,RL.EST,0.830110431,0.692453921
Bermuda,BMU,Voice and Accountability,VA.EST,NA,NA
Bermuda,BMU,Control of Corruption,CC.EST,1.151810765,1.27020359
