"","Final_country","Observed_indoor_richness","Observed_naturalized_richness","Projected_naturalized_richness_indoor_current","Projected_naturalized_richness_indoor_2C","Projected_naturalized_richness_indoor_4C","Projected_naturalized_richness_difference_2C","Projected_naturalized_richness_difference_4C","Projected_naturalized_richness_difference_warm_scen","Observed_harmful_indoor_richness","Observed_harmful_naturalized_richness","Projected_harmful_naturalized_richness_indoor_current","Projected_harmful_naturalized_richness_indoor_2C","Projected_harmful_naturalized_richness_indoor_4C","Projected_harmful_naturalized_richness_difference_2C","Projected_harmful_naturalized_richness_difference_4C","Projected_harmful_naturalized_richness_warm_scen","Observed_env_impact_indoor","Observed_env_impact_naturalized","Cumulative_env_SWIS_indoor_current","Cumulative_env_SWIS_indoor_2C","Cumulative_env_SWIS_indoor_4C","Projected_env_SWIS_difference_2C","Projected_env_SWIS_difference_4C","Projected_env_SWIS_difference_warm_scen","Observed_soc_impact_indoor","Observed_soc_impact_naturalized","Cumulative_soc_SWIS_indoor_current","Cumulative_soc_SWIS_indoor_2C","Cumulative_soc_SWIS_indoor_4C","Projected_soc_SWIS_difference_2C","Projected_soc_SWIS_difference_4C","Projected_soc_SWIS_difference_warm_scen","threat","IAS_list","Existing_mgmt","research","outreach"
"1","Afghanistan",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"2","Albania",1,0,0.0154676389185317,0.0222709616724487,0.0338509507563979,0.00680332275391695,0.0183833118378662,0.0115799890839492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","Algeria",0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
"4","Andorra",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"5","Angola",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"6","Argentina",0,9,0,0,0,0.0320008589879476,0.0704266004630574,0.0384257414751098,0,5,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,1,0.5,1,0
"7","Armenia",1,1,0.00809223481715654,0.0112693189238477,0.0194984313647653,0.00317708410669114,0.0114061965476087,0.00822911244091761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0
"8","Australia",0,45,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,77,0,0,0,0,0,0,1,1,1,1,1
"9","Austria",11,0,2.20238490039603,2.72379853402847,3.82185160339281,0.521413633632432,1.61946670299677,1.09805306936434,5,0,1.2519855272148,1.51642514748205,2.04185609021347,0.264439620267246,0.264439620267246,0,32,0,6.18004178641861,7.66626568064427,10.9167745410407,1.48622389422566,4.73673275462211,3.25050886039645,15,0,3.90565268485733,4.78055706248196,6.50816204788745,0.874904377624633,2.60250936303012,1.72760498540549,1,1,1,1,1
"10","Azerbaijan",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"11","Bahamas",0,32,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,1,0.5,1,1
"12","Bahrain",0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0.5,1,0
"13","Bangladesh",0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0.5,0,0,0
"14","Belarus",1,0,0.00176955842392261,0.00224022171066971,0.0058099526771126,0.000470663286747096,0.00404039425318999,0.00356973096644289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0
"15","Belgium",11,4,3.47453608400838,3.8405832334598,4.76248575663655,0.366047149451418,1.28794967262817,0.92190252317675,5,2,1.9829148579492,2.17098762272829,2.62130878516484,0.188072764779085,0.188072764779085,0,33,4,13.37388069981,14.667798813565,17.7581029041273,1.29391811375491,4.38422220431725,3.09030409056234,13,4,4.41447818323533,4.91565207256232,6.16726117201273,0.501173889326987,1.75278298877739,1.25160909945041,1,1,0,1,1
"16","Belize",0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0.5,0.5,0,1
"17","Benin",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.5,0.5,0,0
"18","Bermuda",0,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,33,0,0,0,0,0,0,NA,NA,NA,NA,NA
"19","Bhutan",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"20","Bolivia",0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"21","Bosnia and Herz.",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"22","Br. Indian Ocean Ter.",0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"23","Brazil",0,22,0,0,0,0.215781961658589,0.414422288178611,0.198640326520022,0,11,0,0,0,0.215781961658589,0.215781961658589,0,0,86,0,0,0,1.99518667432761,3.8476061542031,1.85241947987549,0,47,0,0,0,0.949945192466352,1.81431486792842,0.864369675462071,1,1,1,0,0
"24","Bulgaria",1,3,0.0129644883438108,0.0179091813677479,0.0287375365877577,0.00494469302393703,0.0157730482439469,0.0108283552200099,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1,1
"25","Burkina Faso",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0.5,0,0,0
"26","Cabo Verde",0,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,13,0,0,0,0,0,0,NA,NA,NA,NA,NA
"27","Cambodia",0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0.5,0.5,0,0
"28","Cameroon",0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0.5,0,1,0
"29","Canada",15,7,1.17183111173838,1.2502089963471,1.49947043910553,0.0783778846087186,0.327639327367148,0.249261442758429,10,2,0.0724272210152024,0.104177739121742,0.257581386365534,0.0317505181065393,0.0317505181065393,0,54,12,0.290702918948291,0.425038212455881,1.07737790510323,0.13433529350759,0.786674986154935,0.652339692647345,36,4,0.336854339534917,0.434039353944865,0.999919023539199,0.0971850144099477,0.663064684004282,0.565879669594334,1,1,1,1,1
"30","Cayman Is.",0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,23,0,0,0,0,0,0,NA,NA,NA,NA,NA
"31","Central African Rep.",0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,NA,NA,NA,NA,NA
"32","Chad",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"33","Chile",1,17,0.0660864973890368,0.0832177237973846,0.108266188257377,0.0171312264083478,0.0421796908683402,0.0250484644599924,0,9,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,1,1,1,1
"34","China",0,28,0,0,0,0.0136144937166965,0.0514830367961238,0.0378685430794274,0,10,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1,1,1,0,1
"35","Clipperton I.",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"36","Colombia",0,22,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,1,0.5,1,0
"37","Comoros",0,35,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0
"38","Cook Is.",0,26,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"39","Costa Rica",0,26,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0.5,0.5,0,0
"40","Cote d'Ivoire",0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0.5,0.5,0,0
"41","Croatia",2,1,0.445607608754303,0.509725859971324,0.626354822555494,0.0641182512170211,0.180747213801191,0.11662896258417,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,1
"42","Cuba",0,37,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,1,1,1,1
"43","Czechia",4,0,0.738888102712988,0.9044628386896,1.23133886308729,0.165574735976612,0.492450760374299,0.326876024397688,3,0,0.734959881937249,0.898829774166521,1.22040485412277,0.163869892229272,0.163869892229272,0,10,0,1.09265168987057,1.43338203090635,2.27956861949854,0.340730341035784,1.18691692962797,0.84618658859219,11,0,2.91407585821751,3.56959109817425,4.8549907161929,0.655515239956742,1.94091485797538,1.28539961801864,1,1,0.5,1,1
