"","Chisq","Df","Pr(>Chisq)"
"water_pca",2.761,1,0.097
"mean_water_pca_native",0.003,1,0.96
"temp_pca",11.362,1,0.001
"mean_temp_pca_native",0.515,1,0.473
"log10(date)",0.389,1,0.533
"sp.layer",5.198,5,0.392
"water_pca:mean_water_pca_native",0.034,1,0.853
"temp_pca:mean_temp_pca_native",19.313,1,0
"water_pca1",2.838,1,0.092
"mean_water_pca_native1",0.002,1,0.96
"temp_pca1",11.82,1,0.001
"mean_temp_pca_native1",0.521,1,0.471
"log10(date)1",0.39,1,0.533
"sp.layer1",5.224,5,0.389
"temp_pca:mean_temp_pca_native1",19.588,1,0
"temp_pca2",67.929,1,0
"mean_temp_pca_native2",11.938,1,0.001
"temp_pca:mean_temp_pca_native2",32.554,1,0
