"","X","genus","species","polygon_name","x","y","num","ID","temp_pca","water_pca","temp_pca_2C","temp_pca_4C","water_pca_2C","water_pca_4C","bentity2_name","area","date","sp.layer","mean_temp_pca_native","mean_water_pca_native","population","id","x.1","y.1","x.2","y.2","Status","dummy","current_status_projection","future_status_2C","future_status_4C","Harmful","proj_diff_2C","proj_diff_4C","warming_diff","Impact_4C.Animal.production","Impact_4C.Animals","Impact_4C.Competition","Impact_4C.Crops","Impact_4C.Diseases","Impact_4C.Ecosystems","Impact_4C.Forestry","Impact_4C.Health","Impact_4C.Hybridization","Impact_4C.Infrastructure","Impact_4C.Plants","Impact_4C.Social","Impact_4C.E.Total","Impact_4C.S.Total","Impact_2C.Animal.production","Impact_2C.Animals","Impact_2C.Competition","Impact_2C.Crops","Impact_2C.Diseases","Impact_2C.Ecosystems","Impact_2C.Forestry","Impact_2C.Health","Impact_2C.Hybridization","Impact_2C.Infrastructure","Impact_2C.Plants","Impact_2C.Social","Impact_2C.E.Total","Impact_2C.S.Total","Impact_current.Animal.production","Impact_current.Animals","Impact_current.Competition","Impact_current.Crops","Impact_current.Diseases","Impact_current.Ecosystems","Impact_current.Forestry","Impact_current.Health","Impact_current.Hybridization","Impact_current.Infrastructure","Impact_current.Plants","Impact_current.Social","Impact_current.E.Total","Impact_current.S.Total","Final_country","threat","IAS_list","Existing_mgmt","research","outreach","total_score"
"58","Acromyrmex.octospinosus.90","Acromyrmex","Acromyrmex.octospinosus","Cuba",-79.0312508775182,21.6207503453768,1,90,-2.18920355361011,2.68681076696993,-2.22313570885931,-2.30095105190129,3.23942535437123,2.81636752885278,"Cuba",110220098174.406,1913,"ground",-2.26850069245135,4.11377549864353,"Cuba_Acromyrmex.octospinosus","Acromyrmex.octospinosus_Cuba",-79.0312508775182,21.6207503453768,-79.0312508775182,21.6207503453768,"Naturalized",1,0.999999735056697,0.999999815784447,0.999999919945029,"Alien",8.07277493741765e-08,1.84888332199762e-07,1.04160582825585e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cuba",1,1,1,1,1,5
"NA","Acromyrmex.octospinosus.506","Acromyrmex","Acromyrmex.octospinosus","Lesser Antilles",-62.4617835780263,15.0627561995142,1,506,-2.34968950873927,0.686191208377836,-2.39032502111636,-2.4695204979495,2.4946107797729,2.0644053339468,"Lesser Antilles",7777213988.10502,2020,"ground",-2.26850069245135,4.11377549864353,"Lesser Antilles_Acromyrmex.octospinosus","Acromyrmex.octospinosus_Lesser Antilles",-62.4617835780263,15.0627561995142,-62.4617835780263,15.0627561995142,"Naturalized",1,0.999999952322444,0.999999969146221,0.999999986788534,"Alien",1.68237771491775e-08,3.44660906481664e-08,1.76423134989889e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"70","Adelomyrmex.myops","Adelomyrmex","Adelomyrmex.myops","Galapagos Islands",-90.8965867078987,-0.553294049115944,1,493,-2.17852144009537,-0.915941718386279,-2.25330062806606,-2.35901324351629,-0.396355064468096,-0.193319341587873,"Galapagos Islands",7801236930.14369,2008,"litter.soil",-2.15442995907342,3.79693558534627,"Galapagos Islands_Adelomyrmex.myops","Adelomyrmex.myops_Galapagos Islands",-90.8965867078987,-0.553294049115944,-90.8965867078987,-0.553294049115944,"Naturalized",1,0.999999543381892,0.999999786211551,0.999999926871847,"Alien",2.42829658825272e-07,3.83489955124716e-07,1.40660296299444e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ecuador",1,1,1,0,0,3
"162","Amblyopone.australis.272","Amblyopone","Amblyopone.australis","New Zealand",172.645969738183,-41.8343276097385,1,272,-1.25721507556336,1.28991873986745,-1.31792056706145,-1.40544586314808,3.05095401528021,3.1690392599543,"New Zealand",268475548009.337,1887,"ground & litter",-1.71951194351503,-0.190675029695195,"New Zealand_Amblyopone.australis","Amblyopone.australis_New Zealand",172.645969738183,-41.8343276097385,172.645969738183,-41.8343276097385,"Naturalized",1,0.999485399907642,0.999683414966955,0.999842875113097,"Alien",0.00019801505931305,0.000357475205454705,0.000159460146141654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Zealand",1,1,1,1,1,5
"18","Anochetus.emarginatus","Anochetus","Anochetus.emarginatus","Bahamas",-76.5671064178707,24.2430773716039,1,27,-2.14039515807659,0.384041664421947,-2.17832657694817,-2.25594728958758,2.53113557228559,2.51724356988186,"Bahamas",12839158625.105,1998,"arboreal",-2.29166890470932,4.33543679540968,"Bahamas_Anochetus.emarginatus","Anochetus.emarginatus_Bahamas",-76.5671064178707,24.2430773716039,-76.5671064178707,24.2430773716039,"Naturalized",1,0.999999589729427,0.999999727878842,0.999999882541968,"Alien",1.38149414685707e-07,2.92812540658716e-07,1.54663125973009e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bahamas",1,1,0.5,1,1,4.5
"209","Anochetus.ghilianii","Anochetus","Anochetus.ghilianii","Spain",-3.55293696577648,40.3885101274253,1,386,-1.23040725237941,0.173790960615161,-1.2829809414913,-1.36049610267727,0.025488991149735,-0.134891740029792,"Spain",493663791891.804,1859,"ground & litter",-1.38733444594567,-1.1732312400098,"Spain_Anochetus.ghilianii","Anochetus.ghilianii_Spain",-3.55293696577648,40.3885101274253,-3.55293696577648,40.3885101274253,"Naturalized",1,0.994742466052388,0.996232982203841,0.997697469837085,"Alien",0.00149051615145301,0.00295500378469604,0.00146448763324303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spain",1,1,0.5,1,1,4.5
"53","Anochetus.graeffei.84","Anochetus","Anochetus.graeffei","Cook Islands",-159.173627313443,-18.8853918419756,1,84,-2.23709389567375,1.38415734469891,-2.27050280570984,-2.33221727609634,5.09846305847168,5.38223540782928,"Cook Islands",230409679.370345,1967,"ground & litter",-1.99125346705637,4.06142655339444,"Cook Islands_Anochetus.graeffei","Anochetus.graeffei_Cook Islands",-159.173627313443,-18.8853918419756,-159.173627313443,-18.8853918419756,"Naturalized",1,0.999999510889332,0.999999642045254,0.9999997989147,"Alien",1.31155922455939e-07,2.88025368555545e-07,1.56869446099606e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook Is.",1,1,0.5,0,0,2.5
"198","Anochetus.graeffei.363","Anochetus","Anochetus.graeffei","Seychelles",51.4949111477428,-6.94413830800205,1,363,-2.37739227129065,1.50075731815203,-2.44143097297005,-2.529299756755,5.33204947347226,5.51832159705784,"Seychelles",486231920.981334,2012,"ground & litter",-1.99125346705637,4.06142655339444,"Seychelles_Anochetus.graeffei","Anochetus.graeffei_Seychelles",51.4949111477428,-6.94413830800205,51.4949111477428,-6.94413830800205,"Naturalized",1,0.999999868184808,0.999999927542142,0.99999996812142,"Alien",5.9357333270782e-08,9.99366118747957e-08,4.05792786040138e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Seychelles",1,0,1,0,0,2
"81","Anochetus.graeffei.535","Anochetus","Anochetus.graeffei","Society Islands",-149.909062730952,-17.4381230497134,1,535,-2.22413986023158,1.06902938917892,-2.24763622675856,-2.30884957640138,4.45677635767689,4.34033421620931,"Society Islands",1535763776.23791,1988,"ground & litter",-1.99125346705637,4.06142655339444,"Society Islands_Anochetus.graeffei","Anochetus.graeffei_Society Islands",-149.909062730952,-17.4381230497134,-149.909062730952,-17.4381230497134,"Naturalized",1,0.999999449481193,0.999999558002375,0.999999750537206,"Alien",1.08521182484722e-07,3.01056013340961e-07,1.92534830856239e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fr. Polynesia",NA,NA,NA,NA,NA,NA
"208","Anochetus.graeffei.379","Anochetus","Anochetus.graeffei","South Africa",25.0927278094241,-29.0003481585414,1,379,-1.47487910575197,-1.00306727506166,-1.55160819261591,-1.67082969952549,0.0203780073945106,-0.0328407685453054,"South Africa",1220325689672.88,2012,"ground & litter",-1.99125346705637,4.06142655339444,"South Africa_Anochetus.graeffei","Anochetus.graeffei_South Africa",25.0927278094241,-29.0003481585414,25.0927278094241,-29.0003481585414,"Naturalized",1,0.999615587069785,0.999812282965104,0.99993837779993,"Alien",0.00019669589531901,0.000322790730144851,0.000126094834825841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"South Africa",1,1,1,1,1,5
