,label,n,Native
1,Acromyrmex.octospinosus_Lesser Antilles,2,Y
2,Brachyponera.chinensis_Ogasawara Islands,2,Y
3,Cardiocondyla.emeryi_Mozambique Channel Islands,2,Y
4,Cardiocondyla.emeryi_Nepal,2,N
5,Cardiocondyla.mauritanica_Nepal,2,N
6,Crematogaster.subdentata_Ukraine,2,N
7,Hypoponera.eduardi_Turkey,2,Y
8,Hypoponera.opaciceps_Florida,2,N
9,Hypoponera.opaciceps_Philippines,2,N
10,Hypoponera.opacior_Cocos Island (Costa Rica),2,N
11,Hypoponera.punctatissima_Ukraine,2,N
12,Lasius.neglectus_Spain,2,N
13,Lasius.neglectus_Ukraine,2,N
14,Monomorium.andrei_Morocco,2,Y
15,Monomorium.bicolor_Aegean Islands,2,N
16,Monomorium.bicolor_Greece,2,N
17,Monomorium.pharaonis_Russia Northwest,2,N
18,Monomorium.pharaonis_Yunnan,2,N
19,Nylanderia.guatemalensis_Cocos Island (Costa Rica),2,N
20,Nylanderia.jaegerskioeldi_Saudi Arabia,2,Y
21,Nylanderia.vividula_Ukraine,2,Y
22,Odontomachus.ruginodis_Cocos Island (Costa Rica),2,N
23,Ooceraea.biroi_Yunnan,2,N
24,Paratrechina.longicornis_Andhra Pradesh,2,Y
25,Paratrechina.longicornis_Arunachal Pradesh,2,Y
26,Paratrechina.longicornis_Assam,2,Y
27,Paratrechina.longicornis_Bangladesh,2,Y
28,Paratrechina.longicornis_Gujarat,2,Y
29,Paratrechina.longicornis_Haryana,2,Y
30,Paratrechina.longicornis_Himachal Pradesh,2,Y
31,Paratrechina.longicornis_Jammu & Kashmir,2,Y
32,Paratrechina.longicornis_Karnataka,2,Y
33,Paratrechina.longicornis_Kerala,2,Y
34,Paratrechina.longicornis_Lakshadweep,2,Y
35,Paratrechina.longicornis_Madhya Pradesh,2,Y
36,Paratrechina.longicornis_Maharashtra,2,Y
37,Paratrechina.longicornis_Manipur,2,Y
38,Paratrechina.longicornis_Meghalaya,2,Y
39,Paratrechina.longicornis_Mizoram,2,Y
40,Paratrechina.longicornis_Morelos,2,Y
41,Paratrechina.longicornis_Nagaland,2,Y
42,Paratrechina.longicornis_Nepal,2,Y
43,Paratrechina.longicornis_Orissa,2,Y
44,Paratrechina.longicornis_Punjab,2,Y
45,Paratrechina.longicornis_Rajasthan,2,Y
46,Paratrechina.longicornis_Sikkim,2,Y
47,Paratrechina.longicornis_Sri Lanka,2,Y
48,Paratrechina.longicornis_Sumatra,2,Y
49,Paratrechina.longicornis_Tamil Nadu,2,Y
50,Paratrechina.longicornis_Thailand,2,Y
51,Paratrechina.longicornis_Tripura,2,Y
52,Paratrechina.longicornis_Uttar Pradesh,2,Y
53,Paratrechina.longicornis_West Bengal,2,Y
54,Pheidole.fervens_Fiji,2,N
55,Pheidole.megacephala_Fiji,2,N
56,Pheidole.punctatissima_Veracruz,2,Y
57,Plagiolepis.schmitzii_France,2,N
58,Platythyrea.punctata_Florida,2,N
59,Ponera.swezeyi_Queensland,2,Y
60,Ponera.swezeyi_Samoan Islands,2,Y
61,Pseudomyrmex.elongatus_Florida,2,N
62,Pseudomyrmex.gracilis_Lesser Antilles,2,N
63,Pseudoponera.stigma_Cocos Island (Costa Rica),2,N
64,Solenopsis.geminata_Cocos Island (Costa Rica),2,N
65,Strumigenys.eggersi_Philippines,2,N
66,Strumigenys.louisianae_Cocos Island (Costa Rica),2,N
67,Strumigenys.membranifera_France,2,N
68,Strumigenys.nigrescens_Cocos Island (Costa Rica),2,N
69,Tapinoma.darioi_France,2,N
70,Tapinoma.magnum_France,2,N
71,Tapinoma.melanocephalum_Morelos,2,N
72,Tapinoma.simrothi_Aegean Islands,2,Y
73,Tapinoma.simrothi_Crete,2,Y
74,Tapinoma.simrothi_Greece,2,Y
75,Technomyrmex.difficilis_Thailand,2,N
76,Tetramorium.insolens_Thailand,2,N
77,Tetramorium.lanuginosum_Bhutan,2,Y
78,Tetramorium.lanuginosum_Nepal,2,Y
79,Trichomyrmex.destructor_Nepal,2,N
80,Trichomyrmex.mayri_Sri Lanka,2,N
81,Vollenhovia.emeryi_District of Columbia,2,N
82,Wasmannia.auropunctata_Cocos Island (Costa Rica),2,N
83,Wasmannia.auropunctata_Lesser Antilles,2,N
84,Wasmannia.auropunctata_Spain,2,N
85,Wasmannia.auropunctata_Trinidad and Tobago,2,Y
